ItemId,IDE,Freq,ItemName,Ierarhie1,Ierarhie2,IsActive
498500,234,2488,DJUVARA NEAGU / 444 DE FRAGMENTE MEMORABILE ALE LUI NEAGU DJUVARA,1,128,1
455191,235,2481,DIXIT - ODYSSEY / 8+,4,140,1
488120,236,2477,RULOURI YOYO CU ZMEURA,20,241,1
543683,237,2477,CLICK&CLACK TWO COLOR PEN - HUG ME,5,134,1
538154,238,2476,VODOLAZKIN EVGHENI / AVIATORUL,1,0,1
348914,239,2474,TUDOR CHIRILA / EXERCITII DE ECHILIBRU,1,0,1
511121,240,2469,GEL INK PENS / 4357-A,5,134,1
212936,241,2458,RHONDA BYRNE / SECRETUL (CARTONAT)# 2000000271088 #9789738759572,1,49,1
514398,242,2445,ELENA FERRANTE / CEI CARE PLEACA SI CEI CE RAMAN,1,0,1
438816,243,2443,JOC UNO CLASIC / MTW2087,4,181,1
258105,244,2439,M305 CRISPY DREAM 50G,13,79,1
476730,245,2438,MARIAN GODINA / FLASH-URI DIN SENS OPUS,1,9,1
475663,246,2430,ISABEL ALLENDE / AMANTUL  JAPONEZ,1,0,1
402697,247,2430,DOBBLE / 7+,4,140,1
547180,248,2429,SIMON SINEK / LIDERII MANANCA ULTIMII,1,19,1
429659,249,2427,ANIMAL FARM (SIGNET CLASSICS) / GEORGE ORWELL,0,0,1
580691,250,2426,DANIEL J. SIEGEL / MINTEA,1,45,1
343044,251,2423,DANIEL KAHNEMAN / GANDIRE RAPIDA GANDIRE LENTA,1,45,1
459559,252,2422,FELICITARI PREMIUM LASERHANDMADE (M),11,107,1
562236,253,2422,J.K. ROWLING / HARRY POTTER SI ORDINUL PHOENIX (#5) ,1,121,1
213763,254,2417,DUMITRU CONSTANTIN DULCAN / INTELIGENTA MATERIEI ED A III-A# 9789737572226,1,32,1
489392,255,2396,COPYRIGHT - FLEURUS / COLOREZ SEMNELE MELE DE CARTE,1,3,1
488126,256,2392,TALPITE DINO,20,241,1
475672,257,2385,BATON CU GHIMBIR (TURTA DULCE) 35G,20,241,1
477863,258,2385,M431 Flavored fruit tea blend Old Love,13,79,1
617646,259,2380,ETICHETE ADEZIVE CADOU 2018,24,124,1
475673,260,2376,BATON CU NUCI CAJU (PRAJITURICA CU CAJU) 35G,20,241,1
615923,261,2375,THE SUBTLE ART OF NOT GIVING A F*CK: A COUNTERINTUITIVE APPROACH TO LIVING A GOOD LIFE / MARK MANSON,0,48,1
365502,262,2373,ROALD DAHL / CHARLIE SI MARELE ASCENSOR DE STICLA,1,3,1
594000,263,2372,JEFF KINNEY / JURNALUL UNUI PUSTI  1 (HARDCOVER 2018),1,3,1
481337,264,2367,MAGNET MESAJ,19,116,1
556450,265,2365,KAREN M. MCMANUS / UNUL DINTRE NOI MINTE,1,0,1
594176,266,2362,NEIL GAIMAN / MITOLOGIE NORDICA (NEIL GAIMAN),1,121,1
599535,267,2361,KORNEI CIUKOVSKI / DOCTORUL AUMADOARE,1,3,1
512253,268,2359,PLESU ANDREI / DESPRE FRUMUSETEA UITATA A VIETII,1,43,1
601652,269,2350,HAWKING STEPHEN / SCURTA ISTORIE A TIMPULUI/ DE LA BIG BANG LA GAURILE NEGRE,1,32,1
427005,270,2347,MARIE KONDO / MAGIA ORDINII,1,48,1
326868,271,2343,T.C.CAMPBELL T.M CAMPBELL / STUDIUL CHINA,1,33,1
464677,272,2334,VOCABULAR.FAMILII DE ANIMALE/ CJED. MONTESSORI,1,3,1
554534,273,2313,NORMAN VINCENT PEALE / FORTA GANDIRII POZITIVE ED A II-A,1,48,1
475674,274,2305,BATON CU CACAO (DELICIU CU CACAO) 35G,20,241,1
650361,275,2305,GARY JOHN BISHOP / UNFU*K YOURSELF,1,48,1
440738,276,2300,ANTONIO G. ITURBE / BIBLIOTECARA DE LA AUSCHWITZ,1,0,1
477122,277,2293,ONLY DULL PEOPLE ARE BRILLIANT AT BREAKFAST / OSCAR WILDE,0,0,1
617297,278,2293,CATHERINE ISAAC / AICIACUMMEREU,1,0,1
558814,279,2288,PETRONELA ROTAR / ORBI,1,0,1
488127,280,2277,TALPITE ARCTIC,20,241,1
547783,281,2275,ELENA FAVALLI FRANCESCA CAVALLO / POVESTI DE SEARA PENTRU FETE REBELE,1,121,1
358298,282,2269,JOHN MAXWELL / CELE 15 LEGI SUPREME ALE DEZVOLTARII PERSONALE,1,48,1
494910,283,2267,DAVID MICHIE / PISICA LUI DALAI LAMA,1,0,1
562173,284,2263,SUPORT PAHAR - 0020,18,160,1
399019,285,2262,HARPER LEE / SA UCIZI O PASARE CANTATOARE (TOP 10 ),1,0,1
477790,286,2260,CRAYONS MINES NOIRES MULTICOLORES 50 PIECES = 1 / KN 06,5,169,1
387326,287,2256,JELLY BEAN 100G TUBE TROPICAL BONANZA F0100-0586.,20,161,1
560746,288,2254,I USED TO BE A NEWSPAPER RECYCLED PAPER,5,134,1
488121,289,2239,RULOURI YOYO CU MANGO,20,241,1
577396,290,2234,NAPOLEON HILL / DE LA IDEE LA BANI. ED A III A,1,48,1
561948,291,2231,G.LIICEANUI.PARVULESCUR.PARASCHIVESCU / CUM SA FII FERICIT IN ROMANIA,1,0,1
255336,292,2222,SOLUTIA SCHOPENHAUER / IRVIN D. YALOM,1,0,1
498415,293,2219,NOTIUNI OPUSE/ CJED. MONTESSORI. SERIA 3,1,3,1
258416,294,2217,M84 REDBUSH STRAWBERRY BANANA 50G,13,79,1
600956,295,2209,DR. JOE DISPENZA / TU ESTI PLACEBO - ED. II,1,48,1
258094,296,2208,M246 KM SLEEP WELL,13,79,1
563783,297,2208,ELIF SHAFAK / CELE TREI FIICE ALE EVEI,1,0,1
563159,298,2206,IOANA CHICET MACOVEICIUC / IMPREUNA - SOLUTII DE JOACA SI IUBIRE LA PROBLEME MICI SI MARI,1,3,1
513821,299,2205,GEANINA STAICU-AVRAM / JAMILA CUISINE. CELE MAI IUBITE RETETE,1,78,1
385585,300,2202,ADRIAN CIOROIANU / CEA MAI FRUMOASA POVESTE,1,17,1
572654,301,2199,TEDDY'S MOOD - MINI SCENTED HIGHLIGHTERS,5,169,1
414694,302,2192,VT22203 / PIC CU RESCRIERE F,11,134,1
