BasketId,ItemId,SiteId,TimeStamp,Qtty,ClientId,IsActive,IDE
7131173,461399,20,2016-01-01 19:05:57.627,1.0,-103,1,3175
7131175,258279,20,2016-01-01 19:06:48.190,1.0,-103,1,80
7131175,258319,20,2016-01-01 19:06:48.190,1.0,-103,1,333
7131175,414758,20,2016-01-01 19:06:48.190,1.0,-103,1,4529
7131176,162494,26,2016-01-01 19:06:49.513,1.0,-103,1,9267
7131176,381142,26,2016-01-01 19:06:49.513,1.0,-103,1,13198
7131190,214954,20,2016-01-01 19:12:39.200,1.0,-103,1,9121
7131190,452580,20,2016-01-01 19:12:39.200,1.0,-103,1,6821
7131201,258105,20,2016-01-01 19:26:56.660,1.0,-103,1,244
7131201,258316,20,2016-01-01 19:26:56.660,1.0,-103,1,192
7131206,456464,20,2016-01-01 19:30:36.013,1.0,-103,1,61
7131206,461493,20,2016-01-01 19:30:36.013,1.0,-103,1,668
7131209,329908,26,2016-01-01 19:33:34.920,1.0,-103,1,2562
7131209,386742,26,2016-01-01 19:33:34.920,1.0,-103,1,876
7131209,466511,26,2016-01-01 19:33:34.920,1.0,-103,1,771
7131224,365502,20,2016-01-01 19:44:15.510,1.0,-103,1,262
7131224,459630,20,2016-01-01 19:44:15.510,1.0,-103,1,4023
7131226,212931,20,2016-01-01 19:44:21.437,1.0,-103,1,777
7131226,336392,20,2016-01-01 19:44:21.437,1.0,-103,1,7743
7131236,457810,20,2016-01-01 19:49:56.877,1.0,-103,1,4812
7131236,457811,20,2016-01-01 19:49:56.877,1.0,-103,1,8926
7131244,427200,20,2016-01-01 19:56:25.327,1.0,-103,1,535
7131244,427231,20,2016-01-01 19:56:25.327,1.0,-103,1,141
7131247,447084,20,2016-01-01 19:58:57.807,1.0,-103,1,1248
7131247,466052,20,2016-01-01 19:58:57.807,1.0,-103,1,3507
7131258,221983,20,2016-01-01 20:08:51.820,1.0,335668599,1,1351
7131258,359860,20,2016-01-01 20:08:51.820,1.0,335668599,1,228
7131258,412910,20,2016-01-01 20:08:51.820,1.0,335668599,1,10031
7131258,427005,20,2016-01-01 20:08:51.820,1.0,335668599,1,270
7131258,454386,20,2016-01-01 20:08:51.820,1.0,335668599,1,6614
7131258,459124,20,2016-01-01 20:08:51.820,1.0,335668599,1,7631
7131258,462102,20,2016-01-01 20:08:51.820,1.0,335668599,1,1959
7131275,396428,26,2016-01-01 20:16:48.350,1.0,-103,1,331
7131275,439402,26,2016-01-01 20:16:48.350,1.0,-103,1,6822
7131279,215092,20,2016-01-01 20:18:11.887,1.0,-103,1,5996
7131279,430226,20,2016-01-01 20:18:11.887,1.0,-103,1,7510
7131280,313216,26,2016-01-01 20:18:40.420,1.0,-103,1,969
7131280,367268,26,2016-01-01 20:18:40.420,1.0,-103,1,592
7131280,447084,26,2016-01-01 20:18:40.420,1.0,-103,1,1248
7131281,258319,20,2016-01-01 20:19:20.250,1.0,-103,1,333
7131281,258396,20,2016-01-01 20:19:20.250,1.0,-103,1,1540
7131281,258410,20,2016-01-01 20:19:20.250,1.0,-103,1,710
7131286,325127,20,2016-01-01 20:23:07.147,1.0,-103,1,1939
7131286,356100,20,2016-01-01 20:23:07.147,1.0,-103,1,8254
7131288,462223,20,2016-01-01 20:24:08.697,1.0,-103,1,1931
7131288,466610,20,2016-01-01 20:24:08.697,1.0,-103,1,1630
